lead_time,stays_in_weekend_nights,stays_in_week_nights,Average Daily Rate,total_of_special_requests,is_canceled
35,0,2,159.0,1,0
65,0,2,149.4,1,0
1,2,2,57.0,1,0
105,1,3,110.08,1,0
2,0,2,101.0,1,0
205,0,4,48.75,0,0
95,2,2,119.85,1,0
2,0,2,152.0,2,0
188,2,3,89.25,1,0
122,0,1,198.0,2,0
0,1,0,54.0,0,0
42,0,2,88.0,2,0
4,0,4,65.83,1,0
11,2,5,82.62,2,0
163,1,3,157.5,1,0
0,1,2,217.67,2,0
212,4,8,164.0,1,0
193,0,3,4.0,1,0
59,2,7,88.98,2,0
3,2,1,36.96,0,0
16,0,1,127.0,1,0
52,1,2,79.0,1,0
103,4,11,116.38,0,0
6,0,2,172.0,1,0
60,2,3,80.75,0,0
82,1,1,65.52,1,0
308,4,12,107.1,1,0
183,2,0,108.0,1,0
120,1,2,85.5,0,0
2,0,3,101.0,1,0
59,2,1,68.45,2,0
235,2,5,65.7,2,0
12,0,2,127.0,1,0
142,1,2,114.3,0,0
0,0,0,0.0,1,0
8,0,1,80.3,1,0
97,2,3,126.0,0,0
159,2,6,127.5,2,0
12,1,1,118.0,0,0
9,0,2,96.5,1,0
70,0,3,75.93,1,0
59,0,1,190.0,1,0
51,1,3,54.71,1,0
30,0,2,77.5,0,0
32,1,3,129.15,0,0
117,2,2,89.25,2,0
22,2,2,120.5,0,0
150,2,3,148.6,2,0
0,0,1,43.0,0,0
103,0,1,139.5,1,0
0,1,0,48.0,1,0
5,1,0,170.0,1,0
90,2,0,120.0,0,0
4,1,2,34.56,0,0
173,4,10,132.6,1,0
11,0,0,0.0,2,0
81,1,2,142.2,0,0
90,2,3,51.71,1,0
22,0,1,126.0,1,0
19,0,2,162.0,2,0
17,2,2,126.0,0,0
2,0,1,155.0,1,0
51,1,2,128.4,1,0
136,1,2,127.4,0,0
37,4,8,63.01,3,0
53,0,3,118.8,2,0
4,0,2,107.1,1,0
21,2,1,120.0,1,0
3,2,2,166.0,1,0
74,0,1,171.0,0,0
0,0,2,117.04,1,0
67,2,3,102.0,0,0
62,2,8,37.8,0,0
157,0,3,123.3,1,0
57,2,2,108.0,2,0
4,0,1,77.0,1,0
12,1,2,156.0,1,0
32,1,0,116.1,1,0
0,0,1,149.0,0,0
11,2,0,70.3,1,0
12,1,3,256.0,2,0
120,1,1,94.5,0,0
78,0,3,120.0,0,0
2,0,2,47.2,0,0
37,0,2,135.45,0,0
217,2,1,177.3,1,0
113,2,5,73.15,2,0
49,1,5,103.18,1,0
13,0,2,156.0,0,0
14,2,1,58.0,1,0
0,0,1,77.0,0,0
21,1,3,48.0,2,0
0,1,0,60.0,1,0
199,2,3,150.0,1,0
20,1,2,54.67,1,0
2,0,1,129.0,1,0
24,0,1,224.0,3,0
40,1,1,205.38,1,0
16,1,0,200.0,2,0
290,2,2,140.38,1,0
82,2,2,147.0,1,0
32,2,0,96.0,0,0
193,0,3,93.09,1,0
101,0,2,144.45,2,0
16,2,0,48.0,1,0
8,2,4,224.5,2,0
12,0,1,177.0,1,0
75,1,2,230.0,0,0
0,0,1,65.2,1,0
3,1,1,89.5,1,0
63,0,1,121.5,2,0
11,2,2,117.0,1,0
164,2,3,108.11,1,0
183,2,5,37.8,2,0
4,0,4,196.5,2,0
98,0,1,109.0,2,0
33,2,1,71.84,0,0
175,0,3,166.5,0,0
3,0,1,58.0,1,0
228,0,2,107.1,1,0
13,1,0,115.0,1,0
28,1,4,123.0,0,0
120,0,4,80.75,1,0
16,0,2,171.0,1,0
10,0,3,65.0,1,0
45,2,1,185.6,0,0
23,2,2,60.94,1,0
185,1,4,99.0,1,0
3,0,1,240.0,0,0
136,2,3,83.12,1,0
44,0,5,74.82,1,0
0,0,1,131.0,0,0
1,0,3,76.0,1,0
124,0,1,54.05,1,0
74,1,3,177.3,0,0
0,2,1,129.0,2,0
20,2,1,126.33,1,0
16,0,2,352.0,0,0
58,2,5,153.77,0,0
13,0,1,101.0,1,0
0,2,1,69.0,1,0
22,2,2,75.75,0,0
109,0,2,103.5,1,0
9,0,1,108.0,1,0
148,0,1,76.23,0,0
39,2,0,271.0,0,0
49,2,1,106.2,2,0
29,2,3,41.0,2,0
21,1,1,137.0,2,0
10,0,4,212.5,0,0
33,2,3,154.0,1,0
129,2,5,160.2,0,0
10,1,3,114.0,0,0
58,0,3,53.97,1,0
1,0,2,140.0,0,0
5,0,3,104.0,1,0
10,1,4,113.24,0,0
226,0,2,82.8,1,0
70,2,4,120.15,2,0
6,0,1,67.0,1,0
77,1,2,115.8,1,0
20,2,0,88.0,0,0
1,1,0,98.0,0,0
116,2,2,200.7,1,0
4,0,1,65.0,2,0
143,1,3,256.5,1,0
52,2,1,56.16,0,0
225,2,4,70.03,1,0
6,1,0,108.0,1,0
48,2,3,93.5,1,0
3,1,0,115.5,1,0
0,0,1,63.0,2,0
39,0,1,54.4,2,0
11,1,3,51.05,2,0
1,1,1,88.0,1,0
7,0,1,160.0,2,0
13,0,1,75.0,1,0
210,1,1,88.7,0,0
0,0,2,79.0,1,0
13,1,2,126.67,1,0
22,2,3,299.0,3,0
17,0,1,61.2,1,0
49,2,2,121.13,1,0
60,2,1,80.1,0,0
64,1,2,115.5,2,0
75,0,4,98.1,2,0
133,1,3,108.0,0,0
8,0,3,53.4,1,0
50,1,3,122.0,1,0
31,2,1,83.9,1,0
79,2,0,88.8,2,0
169,1,2,90.09,1,0
73,0,4,66.0,1,0
154,1,3,137.5,2,0
189,2,8,163.08,0,0
196,2,3,90.09,1,0
120,2,3,86.4,2,0
129,2,1,73.6,2,0
1,2,2,64.5,0,0
25,0,3,129.0,0,0
22,2,1,43.89,1,0
2,0,1,60.0,2,0
220,0,2,137.7,1,0
44,1,1,58.0,2,0
4,1,2,140.0,1,0
27,1,2,165.04,2,0
9,1,2,170.0,3,0
8,0,2,139.0,1,0
265,4,8,112.87,2,0
28,0,1,128.0,1,0
53,0,2,78.35,1,0
83,2,1,62.53,1,0
95,2,1,108.0,2,0
91,1,3,90.95,1,0
33,0,3,94.67,0,0
18,2,0,107.0,0,0
2,0,1,159.0,1,0
137,1,1,101.53,2,0
117,1,3,136.0,1,0
10,2,2,119.0,1,0
18,4,10,64.14,1,0
23,4,9,43.53,1,0
108,2,2,183.0,1,0
24,0,1,48.0,1,0
14,0,2,231.0,0,0
19,2,3,93.0,2,0
67,1,3,73.95,0,0
5,0,2,84.0,1,0
35,1,1,69.5,1,0
0,0,1,88.0,0,0
146,0,2,117.0,0,0
25,0,1,221.0,0,0
169,1,0,107.1,0,0
52,1,2,116.1,2,0
111,0,1,108.0,0,0
99,2,2,144.0,0,0
12,0,1,140.0,1,0
59,1,1,162.0,2,0
144,1,1,93.6,3,0
348,2,3,90.1,2,0
225,1,3,72.0,2,0
0,2,1,108.16,0,0
11,0,4,119.0,0,0
184,2,2,102.0,1,0
175,2,6,160.76,0,0
134,2,3,140.0,2,0
5,1,0,107.0,0,0
9,0,2,137.0,2,0
1,1,0,66.0,0,0
1,0,3,54.0,1,0
60,2,2,108.8,3,0
127,1,1,96.3,1,0
51,1,1,134.1,0,0
128,1,3,126.0,0,0
14,1,2,195.0,2,0
36,1,0,72.07,1,0
8,1,3,112.5,0,0
63,2,2,135.9,2,0
121,2,2,88.4,1,0
132,1,3,224.5,2,0
182,1,3,83.5,1,0
12,2,1,153.33,1,0
48,2,5,88.0,0,0
3,1,0,60.0,1,0
56,1,2,116.1,1,0
16,1,4,74.8,1,0
39,1,0,122.4,1,0
6,1,3,169.0,1,0
169,0,4,160.0,2,0
262,1,2,81.9,2,0
58,2,2,231.5,1,0
15,0,3,109.0,1,0
4,0,2,139.0,1,0
205,2,5,123.3,2,0
72,1,2,144.0,2,0
148,2,6,98.39,2,0
12,2,3,130.0,2,0
107,1,1,126.0,2,0
206,2,5,127.47,1,0
19,0,2,128.0,0,0
4,0,1,79.0,0,0
30,2,2,118.58,1,0
26,0,3,114.67,2,0
202,2,5,118.75,1,0
36,0,3,147.6,2,0
64,0,2,79.2,2,0
314,2,5,133.74,1,0
217,3,7,65.11,2,0
50,1,2,193.5,0,0
68,2,2,37.8,1,0
4,2,3,70.4,1,0
28,2,3,206.52,2,0
0,0,3,196.0,2,0
129,1,3,118.1,0,0
49,1,4,127.0,1,0
1,0,1,139.0,1,0
6,1,5,221.0,3,0
143,0,2,93.6,2,0
313,0,3,91.8,1,0
1,0,1,79.0,3,0
48,0,2,97.2,2,0
11,1,2,80.41,0,0
8,1,1,55.44,1,0
40,2,3,92.0,1,0
40,0,0,0.0,0,0
32,0,2,190.0,2,0
58,0,1,95.4,1,0
204,2,1,168.6,2,0
5,1,1,145.0,0,0
24,1,0,108.0,1,0
58,2,3,242.0,2,0
108,1,4,91.8,2,0
10,1,0,174.0,2,0
12,0,2,60.0,2,0
237,2,5,127.71,1,0
16,1,2,248.33,1,0
25,2,2,64.64,0,0
1,1,1,114.5,0,0
46,2,3,128.38,1,0
24,0,2,148.0,2,0
129,0,4,49.0,1,0
89,1,3,122.4,0,0
1,1,2,117.0,1,0
40,2,3,59.22,0,0
55,1,2,72.07,1,0
154,2,5,131.31,1,0
126,2,5,93.86,2,0
39,0,3,112.0,1,0
4,1,3,74.8,1,0
91,0,2,60.98,1,0
305,0,2,142.2,2,0
13,0,1,140.0,1,0
0,1,2,148.67,0,0
0,0,1,125.0,1,0
58,0,4,131.4,1,0
3,1,1,90.0,1,0
0,1,2,47.0,1,0
136,2,5,181.43,2,0
56,1,1,126.0,0,0
86,1,3,221.18,0,0
139,3,7,120.6,1,0
54,1,0,159.3,2,0
71,1,3,95.25,0,0
63,1,4,115.0,1,0
151,2,5,121.5,2,0
29,1,3,144.9,2,0
0,0,1,97.0,0,0
180,2,1,135.9,1,0
96,0,2,144.0,2,0
2,0,1,115.0,0,0
0,0,0,0.0,1,0
122,2,2,89.25,1,0
26,2,5,87.65,0,0
0,0,1,73.9,0,0
46,0,1,86.4,2,0
81,0,2,59.84,0,0
0,2,0,116.0,1,0
239,2,9,153.0,3,0
5,0,3,96.0,0,0
19,2,2,36.61,2,0
41,1,2,136.67,0,0
268,1,1,105.25,1,0
91,1,1,102.6,0,0
30,0,2,144.0,1,0
86,2,1,193.2,1,0
27,0,2,110.0,3,0
186,4,10,72.0,1,0
215,2,5,99.0,2,0
127,2,3,146.92,1,0
73,2,2,167.2,1,0
1,2,5,45.29,1,0
74,0,2,89.25,3,0
103,2,3,94.5,1,0
55,2,1,159.3,0,0
0,0,1,60.06,0,0
182,0,4,178.0,2,0
24,0,1,101.0,1,0
215,0,3,99.9,1,0
175,2,5,119.0,1,0
30,0,2,104.64,1,0
112,2,1,137.21,1,0
13,2,0,148.0,2,0
295,2,4,26.64,1,0
1,0,1,46.0,2,0
38,2,5,48.0,2,0
64,0,2,61.6,1,0
23,2,2,164.8,0,0
11,2,7,79.11,1,0
212,2,4,203.67,4,0
133,2,0,105.3,1,0
167,2,6,154.8,0,0
0,0,1,0.0,0,0
52,1,4,74.8,2,0
158,1,2,153.0,0,0
204,2,2,98.44,1,0
20,1,4,108.8,1,0
64,0,1,150.0,2,0
13,2,5,59.33,1,0
9,2,1,142.33,1,0
31,0,3,73.9,0,0
84,2,4,118.5,0,0
26,0,3,71.69,1,0
41,2,2,200.0,0,0
83,0,3,104.4,0,0
7,1,0,91.0,2,0
23,0,2,98.4,2,0
145,1,3,90.95,1,0
42,0,3,86.0,1,0
24,1,2,54.0,2,0
